date,mean_temp_c_smooth,mean_temp_c_noise
1965-01-01,2.136272975791769,2.7637270242082312
1965-01-02,2.0614685071578203,0.73853149284218
1965-01-03,2.006286745840341,-0.6062867458403407
1965-01-04,1.9647695872216842,-2.864769587221684
1965-01-05,1.8999255892743885,0.5000744107256119
1965-01-06,1.8501239747758536,-1.4501239747758534
1965-01-07,1.8074453954960643,-2.0074453954960645
1965-01-08,1.7621607412121802,4.43783925878782
1965-01-09,1.7166675964943594,1.7833324035056406
1965-01-10,1.6776183690321116,-1.2776183690321115
1965-01-11,1.6178506679429814,1.6821493320570189
1965-01-12,1.5814417281628046,1.4185582718371954
1965-01-13,1.5462342593061025,2.353765740693898
1965-01-14,1.5100724931929517,1.0899275068070484
1965-01-15,1.4876519942568138,1.8123480057431864
1965-01-16,1.4565372262398029,1.8434627737601974
1965-01-17,1.425972705969134,3.774027294030866
1965-01-18,1.3829200040357843,3.017079995964216
1965-01-19,1.3543076015335787,0.4456923984664214
1965-01-20,1.3118694716147763,-0.5118694716147763
1965-01-21,1.262225287160368,-0.2622252871603681
1965-01-22,1.2167877103342088,-0.7167877103342088
1965-01-23,1.1871406883704563,1.212859311629544
1965-01-24,1.1406070866067264,0.4593929133932737
1965-01-25,1.102180928908416,-1.0021809289084158
1965-01-26,1.0839869149447503,-1.1839869149447504
1965-01-27,1.066227837962885,-0.26622783796288485
1965-01-28,1.0315265763426433,-0.8315265763426434
1965-01-29,1.0128835486905816,-0.8128835486905817
1965-01-30,1.0132840513139851,-0.9132840513139852
1965-01-31,1.0173386600683694,-3.9173386600683697
1965-02-01,0.9972993413513946,-3.297299341351395
1965-02-02,0.9683053529548611,-2.468305352954861
1965-02-03,0.9214917688221127,-1.1214917688221127
1965-02-04,0.8834038954429791,-1.2834038954429792
1965-02-05,0.8618199814608751,-1.8618199814608751
1965-02-06,0.8226261444720582,-0.3226261444720582
1965-02-07,0.8142009954196793,0.9857990045803208
1965-02-08,0.8519512495208927,-2.3519512495208925
1965-02-09,0.9031383296905517,-5.003138329690552
1965-02-10,0.9453237439318566,-0.9453237439318566
1965-02-11,0.9549941088436968,-1.1549941088436968
1965-02-12,0.9586124874805055,1.9413875125194948
1965-02-13,0.9864698834228169,2.213530116577183
1965-02-14,1.0142094562225064,0.9857905437774936
1965-02-15,1.0521439267517907,-4.052143926751791
1965-02-16,1.0831380267274702,-3.3831380267274707
1965-02-17,1.0989124728127722,-2.898912472812772
1965-02-18,1.1309302560160024,-1.6309302560160024
1965-02-19,1.1756182943992657,-3.075618294399266
1965-02-20,1.2018971040788908,-3.8018971040788907
1965-02-21,1.2610315381048172,-4.361031538104817
1965-02-22,1.298379109725175,-2.498379109725175
1965-02-23,1.3507980310356908,-2.750798031035691
1965-02-24,1.3761768921082258,-4.576176892108226
1965-02-25,1.4102059448050157,-4.410205944805016
1965-02-26,1.433696679856664,-2.5336966798566642
1965-02-27,1.4706361008791673,-6.170636100879167
1965-02-28,1.4848685379708946,-3.9848685379708946
1965-03-01,1.517016521473467,-2.817016521473467
1965-03-02,1.560574728655284,-5.160574728655284
1965-03-03,1.6158892026501859,-4.915889202650186
1965-03-04,1.7043812917997834,-5.304381291799784
1965-03-05,1.7815911777120237,-5.381591177712024
1965-03-06,1.8503718134841347,-2.8503718134841347
1965-03-07,1.8967174302526741,-7.496717430252675
1965-03-08,1.927732442081198,-8.027732442081199
1965-03-09,2.0179074181305565,-2.9179074181305564
1965-03-10,2.109901392856851,-4.109901392856851
1965-03-11,2.197198107294492,-1.9971981072944922
1965-03-12,2.2888970623300247,-0.3888970623300245
1965-03-13,2.359441830875409,-0.6594418308754086
1965-03-14,2.41950163286312,1.9804983671368803
1965-03-15,2.532391019137284,4.067608980862717
1965-03-16,2.616317156699663,4.3836828433003365
1965-03-17,2.687415793771563,3.312584206228437
1965-03-18,2.7741731597501222,5.225826840249878
1965-03-19,2.8905676829137956,1.0094323170862047
1965-03-20,3.0243716560920584,-1.7243716560920583
1965-03-21,3.1471799479743416,-3.2471799479743417
1965-03-22,3.256739583517049,-1.956739583517049
1965-03-23,3.407712852922807,2.4922871470771932
1965-03-24,3.5712376306975657,4.628762369302436
1965-03-25,3.7474905591884182,0.8525094408115823
1965-03-26,3.91550794927849,0.6844920507215106
1965-03-27,4.0866601591183676,1.7133398408816332
1965-03-28,4.256475672979268,5.943524327020733
1965-03-29,4.41633696015198,4.783663039848021
1965-03-30,4.580630673406286,1.8193693265937148
1965-03-31,4.760855413015078,1.4391445869849218
1965-04-01,4.9453581782937315,0.6546418217062691
1965-04-02,5.100479901164524,0.3995200988354757
1965-04-03,5.254668718939292,3.545331281060709
1965-04-04,5.386228584290718,4.413771415709283
1965-04-05,5.52842814913218,4.97157185086782
1965-04-06,5.6648650206452205,5.535134979354781
1965-04-07,5.818526941011098,1.6814730589889022
1965-04-08,6.007617788972114,3.3923822110278863
1965-04-09,6.172236190146573,-1.172236190146573
1965-04-10,6.322403651229783,0.07759634877021693
1965-04-11,6.476421885922238,0.9235781140777624
1965-04-12,6.658252441538503,2.9417475584614987
1965-04-13,6.821442518827523,0.4785574811724773
1965-04-14,6.988239816838935,-1.288239816838935
1965-04-15,7.133082994568751,1.9669170054312488
1965-04-16,7.306886797792062,0.09311320220793817
1965-04-17,7.486105588606816,-0.7861055886068158
1965-04-18,7.662912792038288,-0.3629127920382871
1965-04-19,7.886070119740147,-0.2860701197401463
1965-04-20,8.081832439906696,-1.0818324399066963
1965-04-21,8.250870779165817,1.8491292208341843
